payment_id,loan_id,payment_date,amount,principal_paid,interest_paid,remaining_balance,status
LPAY00000001,LOAN000001,2025-02-27,2430.18,2022.7,163.74,233919.28,Pending
LPAY00000002,LOAN000001,2025-09-01,370.91,309.72,444.78,28338.12,Posted
LPAY00000003,LOAN000001,2025-11-13,1531.57,998.1,596.83,307936.88,Pending
LPAY00000004,LOAN000001,2025-03-23,4849.95,3606.08,37.87,299231.38,Pending
LPAY00000005,LOAN000001,2025-01-19,807.26,231.96,610.85,156627.31,Posted
LPAY00000006,LOAN000001,2025-09-27,4593.21,3062.2,429.56,224580.47,Late
LPAY00000007,LOAN000001,2025-09-17,4734.84,1900.76,786.25,315238.13,Returned
LPAY00000008,LOAN000001,2025-08-26,3479.94,3708.77,637.41,175731.48,Pending
LPAY00000009,LOAN000001,2024-04-26,4789.81,545.08,870.09,121253.36,Returned
LPAY00000010,LOAN000001,2024-11-13,3986.16,2206.97,97.23,379735.1,Late
LPAY00000011,LOAN000001,2025-09-20,330.14,164.78,730.19,60868.36,Pending
LPAY00000012,LOAN000001,2025-04-21,331.94,1410.88,124.65,166014.44,Pending
LPAY00000013,LOAN000001,2024-12-26,4490.87,1313.94,160.47,317856.38,Posted
LPAY00000014,LOAN000001,2025-10-11,1618.98,3642.23,942.22,329858.09,Late
LPAY00000015,LOAN000001,2024-09-21,2863.13,1524.9,52.65,120927.19,Late
LPAY00000016,LOAN000001,2024-01-20,4999.47,1925.17,917.34,365832.8,Pending
LPAY00000017,LOAN000001,2025-10-04,3822.52,1943.5,841.3,355993.54,Returned
LPAY00000018,LOAN000001,2024-04-30,2760.86,1792.87,929.36,155228.31,Pending
LPAY00000019,LOAN000002,2024-06-07,4376.03,1217.46,240.6,271811.95,Late
LPAY00000020,LOAN000002,2024-05-07,3295.36,3453.71,686.5,30488.37,Pending
LPAY00000021,LOAN000002,2024-07-20,3766.2,109.55,150.54,330323.33,Late
LPAY00000022,LOAN000002,2024-05-17,783.04,1356.02,860.1,10369.66,Pending
LPAY00000023,LOAN000002,2024-08-01,1620.02,376.59,813.25,313794.37,Returned
LPAY00000024,LOAN000002,2025-09-30,4480.01,3758.15,875.95,212791.29,Pending
LPAY00000025,LOAN000003,2024-10-17,4279.2,1092.28,386.73,125330.17,Late
LPAY00000026,LOAN000003,2025-02-10,1177.2,2867.48,589.05,45808.36,Pending
LPAY00000027,LOAN000003,2025-01-13,4140.92,2674.06,458.08,115254.39,Returned
LPAY00000028,LOAN000003,2024-02-21,1545.96,968.85,989.64,23525.47,Posted
LPAY00000029,LOAN000003,2025-04-15,4512.04,224.18,668.42,367335.78,Late
LPAY00000030,LOAN000003,2024-05-12,3909.43,2028.48,366.72,205892.38,Late
LPAY00000031,LOAN000003,2025-03-27,1781.63,3425.8,435.51,241325.55,Late
LPAY00000032,LOAN000003,2024-05-24,3351.51,2948.18,600.57,239196.92,Posted
LPAY00000033,LOAN000003,2024-04-19,3308.13,3076.41,775.89,177846.84,Pending
LPAY00000034,LOAN000003,2025-03-25,1147.33,745.86,989.46,246347.76,Pending
LPAY00000035,LOAN000003,2023-12-11,2698.77,2977.38,857.55,135168.87,Late
LPAY00000036,LOAN000003,2024-01-20,390.53,667.51,145.4,255757.0,Posted
LPAY00000037,LOAN000003,2024-11-05,1030.96,2841.41,757.9,381499.31,Pending
LPAY00000038,LOAN000003,2024-08-20,3010.86,308.01,859.85,382285.18,Late
LPAY00000039,LOAN000003,2024-10-14,1693.94,2207.29,686.44,351501.85,Posted
LPAY00000040,LOAN000003,2025-03-07,2230.36,2536.23,54.14,292336.91,Posted
LPAY00000041,LOAN000003,2024-08-16,2989.08,2050.46,233.56,8271.99,Returned
LPAY00000042,LOAN000004,2025-09-07,4027.71,2625.5,634.92,40898.51,Posted
LPAY00000043,LOAN000004,2024-04-27,3653.35,2943.67,777.68,341925.41,Returned
LPAY00000044,LOAN000004,2025-03-21,1614.1,2447.15,569.23,81962.05,Posted
LPAY00000045,LOAN000004,2024-11-12,1861.07,2619.56,248.65,247047.61,Returned
LPAY00000046,LOAN000004,2024-12-30,1090.01,2002.54,334.07,327068.05,Returned
LPAY00000047,LOAN000004,2025-08-13,3999.67,3744.5,166.98,399669.16,Posted
LPAY00000048,LOAN000004,2025-10-21,760.15,2316.79,499.07,283789.05,Posted
LPAY00000049,LOAN000004,2024-05-27,1217.05,201.3,54.66,59007.08,Returned
LPAY00000050,LOAN000004,2025-02-23,162.63,2700.35,595.38,149418.1,Returned
LPAY00000051,LOAN000004,2023-12-04,2632.33,1081.68,144.99,92337.28,Posted
LPAY00000052,LOAN000004,2024-02-19,2850.0,2710.77,710.5,64877.05,Returned
LPAY00000053,LOAN000004,2025-01-09,988.11,2562.06,589.56,348787.67,Late
LPAY00000054,LOAN000004,2025-09-10,1999.51,968.49,892.57,112095.99,Late
LPAY00000055,LOAN000004,2024-07-09,2394.92,2386.28,195.04,257391.62,Returned
LPAY00000056,LOAN000004,2024-03-07,3954.6,3262.34,852.66,247446.69,Pending
LPAY00000057,LOAN000005,2024-12-04,1906.63,368.04,975.33,147365.09,Returned
LPAY00000058,LOAN000006,2025-03-11,4083.24,3476.49,196.85,296160.18,Posted
LPAY00000059,LOAN000007,2025-04-13,1325.73,1126.18,120.5,361771.55,Pending
LPAY00000060,LOAN000007,2023-12-17,2006.87,1908.27,298.2,96379.09,Returned
LPAY00000061,LOAN000007,2025-04-26,645.83,1089.48,925.93,57968.9,Posted
LPAY00000062,LOAN000007,2025-04-05,4903.54,250.07,115.21,275146.16,Posted
LPAY00000063,LOAN000007,2025-04-10,3075.4,327.41,646.46,5972.85,Late
LPAY00000064,LOAN000007,2024-11-06,4874.25,1899.36,794.72,68118.74,Returned
LPAY00000065,LOAN000007,2025-04-17,1336.52,1257.34,738.86,115885.54,Posted
LPAY00000066,LOAN000007,2024-12-17,1145.05,3709.95,931.96,254045.16,Returned
LPAY00000067,LOAN000007,2024-12-14,4473.18,133.16,519.63,358278.92,Pending
LPAY00000068,LOAN000007,2024-06-01,3212.54,2255.36,924.99,32993.18,Returned
LPAY00000069,LOAN000008,2025-08-28,2947.97,1342.01,520.25,342761.77,Posted
LPAY00000070,LOAN000008,2024-07-09,1206.1,3329.67,152.09,194336.81,Late
LPAY00000071,LOAN000008,2024-10-30,1193.98,1405.75,151.07,122878.71,Returned
LPAY00000072,LOAN000008,2025-04-18,3828.48,2545.49,909.59,331106.39,Returned
LPAY00000073,LOAN000008,2025-05-26,357.61,3831.36,175.16,210583.99,Pending
LPAY00000074,LOAN000008,2025-07-17,2459.13,1283.14,268.97,350774.44,Pending
LPAY00000075,LOAN000008,2024-07-23,4838.32,1205.38,168.38,141674.69,Late
LPAY00000076,LOAN000008,2024-03-02,984.73,1498.49,927.67,67033.48,Pending
LPAY00000077,LOAN000008,2025-07-23,242.74,442.73,360.72,112481.25,Posted
LPAY00000078,LOAN000008,2024-12-25,3756.78,3158.93,260.63,264098.9,Pending
LPAY00000079,LOAN000008,2024-07-26,1204.61,2561.29,838.22,361509.53,Posted
LPAY00000080,LOAN000008,2024-04-02,2908.73,2643.89,502.38,37361.62,Posted
LPAY00000081,LOAN000008,2025-05-01,4151.21,619.77,762.04,163168.81,Posted
LPAY00000082,LOAN000008,2025-02-05,4850.97,424.99,224.44,104992.62,Pending
LPAY00000083,LOAN000008,2025-03-15,2413.24,716.66,769.93,129508.27,Returned
LPAY00000084,LOAN000008,2025-05-12,1524.88,2220.13,902.36,46716.47,Late
LPAY00000085,LOAN000008,2024-08-06,4892.46,2673.41,994.61,23550.59,Returned
LPAY00000086,LOAN000008,2025-03-11,2866.32,618.89,665.17,371817.52,Pending
LPAY00000087,LOAN000008,2024-02-29,4222.98,1685.62,145.26,254061.13,Posted
LPAY00000088,LOAN000008,2024-02-08,1369.14,2394.03,517.37,337632.71,Pending
LPAY00000089,LOAN000008,2024-08-22,1462.71,2647.87,282.4,165184.16,Pending
LPAY00000090,LOAN000009,2025-11-05,2490.42,3489.18,983.29,190545.38,Pending
LPAY00000091,LOAN000009,2024-09-24,1513.51,3107.97,380.03,379217.79,Returned
LPAY00000092,LOAN000009,2025-08-01,985.73,1203.46,251.53,200119.76,Posted
LPAY00000093,LOAN000009,2024-03-11,4938.79,2145.27,807.71,103671.5,Returned
LPAY00000094,LOAN000009,2025-04-15,831.11,311.65,185.35,144230.89,Late
LPAY00000095,LOAN000009,2024-07-02,1478.63,1093.6,298.35,80834.84,Returned
LPAY00000096,LOAN000009,2024-07-09,1216.46,3785.24,108.38,7425.84,Pending
LPAY00000097,LOAN000009,2025-01-22,326.28,3650.91,512.49,182981.5,Late
LPAY00000098,LOAN000009,2025-11-20,3126.58,3070.66,689.2,82208.65,Returned
LPAY00000099,LOAN000009,2025-02-10,2429.72,3166.84,937.64,146174.0,Late
LPAY00000100,LOAN000009,2024-10-21,902.75,465.52,331.41,60672.15,Returned
LPAY00000101,LOAN000009,2025-07-10,4172.41,1845.51,90.26,210707.76,Pending
LPAY00000102,LOAN000010,2024-07-22,401.41,873.67,74.66,37808.55,Returned
LPAY00000103,LOAN000010,2024-08-31,1172.04,3178.4,129.14,294825.09,Returned
LPAY00000104,LOAN000010,2024-01-29,3870.83,1818.99,355.22,111506.98,Posted
LPAY00000105,LOAN000010,2025-01-22,1400.17,1942.62,186.51,307447.39,Late
LPAY00000106,LOAN000010,2025-04-07,4470.1,3898.37,448.0,314566.72,Returned
LPAY00000107,LOAN000010,2024-03-21,596.0,1769.02,465.59,60997.1,Late
LPAY00000108,LOAN000010,2025-03-18,2920.5,2651.13,59.5,160962.31,Posted
LPAY00000109,LOAN000010,2025-10-15,4938.61,2378.56,948.54,69989.11,Pending
LPAY00000110,LOAN000010,2024-02-08,3879.7,2923.13,585.98,31414.94,Returned
LPAY00000111,LOAN000010,2025-04-28,3355.17,1491.7,424.55,249223.35,Posted
LPAY00000112,LOAN000010,2025-08-04,2567.7,1842.63,898.82,42294.52,Returned
LPAY00000113,LOAN000010,2025-07-01,1977.14,3871.84,577.86,191458.04,Pending
LPAY00000114,LOAN000010,2024-12-22,3725.17,512.73,57.39,338094.52,Returned
LPAY00000115,LOAN000010,2025-04-20,1564.53,3134.04,417.8,137928.25,Posted
LPAY00000116,LOAN000011,2024-02-27,1541.39,2485.7,268.43,303291.21,Pending
LPAY00000117,LOAN000011,2024-04-03,1247.04,2607.43,777.89,373511.23,Posted
LPAY00000118,LOAN000012,2024-09-28,4335.51,3635.49,705.27,244208.05,Posted
LPAY00000119,LOAN000012,2024-05-15,2279.98,3555.2,141.42,158079.48,Returned
LPAY00000120,LOAN000012,2025-03-31,3272.27,3534.36,735.04,196481.3,Returned
LPAY00000121,LOAN000012,2025-04-01,3155.19,1573.45,864.96,52106.15,Pending
LPAY00000122,LOAN000012,2024-10-07,156.21,3172.11,458.3,147746.45,Late
LPAY00000123,LOAN000012,2025-11-14,3290.55,1139.02,712.25,381429.89,Pending
LPAY00000124,LOAN000012,2024-06-29,2911.17,436.01,464.85,366512.33,Pending
LPAY00000125,LOAN000012,2025-11-19,4071.7,3577.95,474.45,5796.57,Returned
LPAY00000126,LOAN000012,2024-07-17,4277.26,3683.76,660.11,290805.28,Returned
LPAY00000127,LOAN000012,2025-07-20,4592.11,737.99,420.11,28380.73,Returned
LPAY00000128,LOAN000012,2025-03-01,296.66,725.83,644.39,53310.47,Posted
LPAY00000129,LOAN000012,2025-06-28,937.26,3857.89,682.64,118379.03,Returned
LPAY00000130,LOAN000012,2024-09-06,508.64,2801.37,332.49,189716.48,Late
LPAY00000131,LOAN000013,2024-09-06,2050.17,3971.61,850.82,142591.19,Returned
LPAY00000132,LOAN000013,2025-10-01,1563.66,912.65,814.34,81240.83,Pending
LPAY00000133,LOAN000013,2025-05-05,4929.46,2710.51,526.82,11091.84,Posted
LPAY00000134,LOAN000013,2025-05-16,3894.59,3565.89,86.91,162683.2,Late
LPAY00000135,LOAN000013,2024-04-13,2833.29,1818.75,975.73,119299.63,Returned
LPAY00000136,LOAN000013,2025-04-23,4206.94,2293.11,955.49,380525.16,Returned
