holding_id,portfolio_id,security_id,security_symbol,security_name,security_type,shares,purchase_price,current_price,purchase_date
HOLD000001,PORT00001,SEC00001,WMF,Security 8,Stock,122.49,305.61,397.76,2021-03-24
HOLD000002,PORT00001,SEC00069,RPA,Security 96,Option,41.09,36.53,160.86,2024-07-08
HOLD000003,PORT00001,SEC00020,NXU,Security 53,Bond,704.33,181.1,161.26,2025-09-11
HOLD000004,PORT00001,SEC00082,UIY,Security 5,ETF,592.26,153.84,82.19,2023-12-05
HOLD000005,PORT00001,SEC00077,EEA,Security 22,Stock,958.85,316.18,420.16,2021-07-03
HOLD000006,PORT00001,SEC00017,APN,Security 34,Bond,344.3,115.93,189.0,2025-03-18
HOLD000007,PORT00001,SEC00083,QZG,Security 89,ETF,40.99,394.13,232.51,2021-05-05
HOLD000008,PORT00001,SEC00062,JJC,Security 82,ETF,915.17,217.61,67.34,2021-12-21
HOLD000009,PORT00001,SEC00042,XSQ,Security 40,Option,820.69,316.91,449.55,2023-03-17
HOLD000010,PORT00001,SEC00083,CNU,Security 97,Option,692.64,216.42,367.06,2023-02-16
HOLD000011,PORT00001,SEC00087,KMR,Security 22,ETF,535.3,385.61,440.62,2024-06-13
HOLD000012,PORT00001,SEC00086,DLK,Security 85,Stock,918.27,321.1,174.3,2023-05-06
HOLD000013,PORT00001,SEC00002,AJV,Security 3,Stock,485.67,102.91,121.36,2024-01-09
HOLD000014,PORT00001,SEC00075,CDU,Security 22,Option,626.12,352.73,122.03,2021-08-16
HOLD000015,PORT00001,SEC00067,QGT,Security 44,Mutual Fund,447.96,54.32,24.03,2023-07-03
HOLD000016,PORT00001,SEC00012,VTT,Security 96,Mutual Fund,822.74,155.6,93.01,2022-01-04
HOLD000017,PORT00001,SEC00032,KYE,Security 47,Bond,450.34,310.44,86.11,2021-03-25
HOLD000018,PORT00001,SEC00091,MLT,Security 75,Option,900.79,329.17,147.35,2024-05-10
HOLD000019,PORT00002,SEC00071,AXS,Security 75,Mutual Fund,560.25,86.27,334.9,2025-02-10
HOLD000020,PORT00002,SEC00015,UKZ,Security 40,Option,773.31,325.53,365.44,2024-11-01
HOLD000021,PORT00002,SEC00002,QHT,Security 90,ETF,998.32,76.99,412.85,2025-04-05
HOLD000022,PORT00002,SEC00070,QHG,Security 72,Option,336.18,157.92,297.35,2025-06-16
